1|Chicken Curry| chicken,cinnamon,cloves,cardamom,onion,tomato|<ul><li>1 (1¾-pound/800-gram) chicken, skinned and cut into 12 pieces </li><li>¼ cup (50 ml) vegetable oil</li><li>1-inch (2½-cm) cinnamon stick</li><li>4 or 5 cloves</li><li>4 or 5 green cardamom pods</li><li>4 medium red onions, grated</li><li>1 tablespoon fresh ginger paste</li><li>1 tablespoon fresh garlic paste</li><li>½ teaspoon ground turmeric</li><li>1½ tablespoons ground coriander</li><li>1½ teaspoons ground roasted cumin (see Notes)</li><li>1 teaspoon red chile powder</li><li>4 medium tomatoes, puréed</li><li>1½ teaspoons table salt</li><li>1 teaspoon garam masala</li><li>1 tablespoon chopped fresh cilantro</li></ul>|<ol><li>Trim the excess fat from the chicken and put the pieces in a large bowl.</li><li>Place a medium nonstick saucepan over medium heat and add the oil. When small bubbles appear at the bottom of the pan, add the cinnamon, cloves, and cardamom, and sauté for 1 minute. When the spices change color and are fragrant, add the onions and sauté for 3 to 4 minutes or until golden brown. Add the ginger paste and garlic paste, and sauté for 2 to 3 minutes, stirring continuously.</li><li>Add the turmeric, coriander, cumin, and chile powder. Stir well.</li><li>Add the tomatoes and sauté for 3 to 4 minutes, stirring continuously. Cook for 7 to 8 minutes or until the oil comes to the top. </li><li>Add the chicken and salt, and stir. Increase the heat to high and sauté for 5 minutes or until the chicken pieces are well coated with the sauce. Add 1½ cups (300 ml) water and bring to a boil. Lower the heat to low, cover, and cook for 10 minutes or until the chicken is cooked through.</li><li>Transfer to a serving bowl. Sprinkle with the garam masala and garnish with the cilantro. Serve hot.</li></ol>| chickencurry.jpg

2|Chicken Tikka Masala| chicken,cinnamon,cloves,cardamom,onion,tomato,ginger,garlic|<ul></li><li>1 1/4 pounds boneless skinless chicken breasts, thighs, or a mix</li><li>6 tablespoons plain whole milk yogurt</li><li>1/2 tablespoon grated ginger</li><li>3 cloves of garlic, minced</li><li>1 teaspoon cumin</li><li>1 teaspoon paprika</li><li>1 1/4 teaspoons salt</li><li>2 tablespoons canola oil, divided</li><li>1 small onion, thinly sliced (about 5 ounces, or 1 1/2 cups sliced)</li><li>2 teaspoons grated ginger</li><li>4 cloves garlic, minced</li><li>1 tablespoon ground coriander</li><li>2 teaspoons paprika</li><li>1 teaspoon garam masala</li><li>1/2 teaspoon turmeric</li><li>1/2 teaspoon freshly ground black pepper</li><li>1 14-ounce can crushed fire-roasted tomatoes (regular crushed tomatoes work, too)</li><li>6 tablespoons plain whole milk yogurt</li><li>1/4 to 1/2 teaspoon cayenne pepper</li><li>1/2 teaspoon salt</li></ul>|<ol><li>Trim chicken thighs of any extra fat. Chop into bite-sized pieces about 1/2 to 1 inch wide. Place the chicken thigh pieces to a medium bowl. Add the yogurt, ginger, garlic, cumin, paprika and salt. Using your hands, combine the chicken with the spices until the chicken is evenly coated.</li><li>Cover the bowl with plastic wrap and let the chicken marinate in the fridge for at least 45 minutes or as long as overnight. (Marinating for 4 to 6 hours is perfect.).</li><li>In a large skillet, heat 1 tablespoon of canola oil over medium-high heat. Add the chicken thigh pieces and cook for about 6 to 7 minutes, until they’re cooked through. Transfer to a plate and set aside.</li><li>Wipe down the pan you used to cook the chicken. Heat remaining canola oil over medium heat. Add the onions and cook for 5 minutes, until softened, stirring often. Add the grated ginger, minced garlic, coriander, paprika, garam masala, turmeric, black pepper, salt and cayenne. Let the spices cook until fragrant, about 30 seconds to a minute.</li><li>Add the crushed tomatoes to the pan with the spices and let everything cook for 4 minutes, stirring often. Add the yogurt and stir to combine.</li><li>Reduce the heat to medium-low and let the sauce simmer for another 4 minutes. Add the chicken pieces to the pan and coat with sauce. </li><li>Serve over cooked basmati rice.</li></ol>|chickencurry2.jpg

3|Butter Chicken| chicken,ginger,lemon juice,cloves,cinnamon,cardamom,tomato,green chilli|<ul><li>400 gms raw chicken</li><li>2 tsp red chilli powder</li><li>2 tsp ginger and garlic paste</li><li>2 tsp salt</li><li>2 tsp lemon juice</li><li>1/2 tsp garam masala</li><li>1 tsp kasuri methi</li><li>2 tsp mustard oil , pureed</li><li>2 tsp oil</li><li>2 to taste butter cubes</li><li>3 gram Cloves</li><li>1 Cinnamon sticks, sliced</li><li>1 tsp Mace</li><li>7 Cardamom</li><li>4 Tomatoes, chopped</li><li>1 tsp garlic</li><li>1 tsp ginger</li><li>2 butter cubes</li><li>1 tsp ginger garlic paste</li><li>1 1/2 tsp red chilli powder</li><li>1 tsp kasuri methi</li><li>2 tsp honey</li><li>1 green chilli</li><li>2 tsp cardamom powder</li><li>1 tbsp cream</li></ul>|<ol><li>In a mixing bowl, put raw chicken pieces and add salt, red chilli powder, ginger garlic paste and lemon juice. Mix well. Refrigerate for about 15-20 minutes.</li><li>Now add curd to the refrigerated mix. Followed by salt, ginger garlic paste, red chilli powder, garam masala, kasuri methi and mustard oil. Mix well and refrigerate again for an hour.</li><li>Roast the marinated chicken in an oven for about 30 minutes until it is three-fourth done.</li><li>Heat 2 tsp of oil in a pan with butter.</li><li>Add cloves, cinnamon stick, mace and cardamom. Saute and then add chopped tomatoes, garlic and ginger. Mix well and then grind well.</li><li>In another pan, heat another two cubes of butter, along with ginger garlic paste.</li><li>Add the tomato puree made from the mixture. Now add red chilli powder, kasuri methi, honey and finally the roasted chicken pieces. Let it simmer.</li><li>Add green chilli, cardamom powder and cream. Mix well.</li><li>Serve with a teaspoon of cream over.</li></ol>|chickencurry3.jpg

4|Fish Curry| fish,coconut,ginger,tamarind,green chilli,shallots|<ul><li>100 grams seer fish</li><li>50 grams coconut</li><li>1/4 inch ginger</li><li>1/2 cup tamarind</li><li>1 teaspoon salt</li><li>1/4 teaspoon turmeric</li><li>2 small green chilli</li><li>1/2 teaspoon Red chilli powder</li><li>2 tablespoon shallots (small onions)</li></ul>|<ol><li>Grind the coconut and turmeric powder with little water to form a fine paste.</li><li>Combine the tamarind extract, red chilli powder, ginger, salt and green chillies in a pan. Add the ground coconut paste and mix well. Place the pan over medium flame.</li><li>Simmer for 2 minutes. Add fish and salt. Cook for a few minutes till the mixture starts to thicken. Fry the tempering ingredients in coconut oil and add to the fish. Add the onions and stir gently. Remove after a minute. Serve hot with rice.</li></ol>|fishcurry.jpg

5|Fish Mappas| fish,coconut,mustard seeds,fenugreek seeds,corriander,curry leaves,green chilies,onion,shallots,tomato|<ul><li>3 tsp coconut oil</li><li>1/4 tsp mustard seeds</li><li>1/4 tsp fenugreek seeds</li><li>5-6 curry leaves</li><li>2 slit green chillies</li><li>1/2 sliced onion</li><li>1 tsp coriander powder</li><li>1/4 tsp mustard powder</li><li>1/2 chopped tomato</li><li>2 soaked kokum fruits</li><li>4 big cubes of any sea fish</li><li>1/2 cup fish stock</li><li>1/2 cup coconut milk</li><li>2 tsp coconut oil</li><li>1/4 tsp ginger juliennes</li><li>1/4 tsp chopped garlic</li><li>5-6 curry leaves</li><li>2 Tbsp chopped shallots</li><ul>|<ol><li>Heat oil in pan.</li><li>Add mustard seeds, fenugreek seeds, curry leaves, slit green chillies and sliced onions. Saute till onions turn brown.</li><li>Now add coriander powder, mustard powder, chopped tomato, kokum fruits, big cubes of any sea fish and fish stock.</li><li>Cover and cook for 5 minutes.</li><li>Now remove cover and reduce to a semi dry consistency.</li><li>Add coconut milk and let simmer for 2 minutes taking care not to let the milk come to a boil.</li><li>Temper with coconut oil; ginger juliennes, chopped garlic, curry leave and chopped shallots.</li><li>Serve hot with aapam.</li></ol>|fishcurry2.jpg

